Report #,Title,Report Type,Category,Severity,Date Discovered,Date Reported,Date Answered,Date Resolved,LCN,Part Number,Serial Number
A2UN-1-100422411,A2UN-1-92251791 Post SPIR Update,DQIM,CAT II,High,11/27/17 1:55,11/27/17 15:13,0,0,Default,0,0
A2UN-1-100616351,Duplicate Inventory: 2AF:0076/13-5070 requires PN/SN updates to EOTS Assy,DQIM,CAT II,Low,11/28/17 18:38,11/28/17 20:04,1/8/18 20:08,1/8/18 20:08,A9941114,77454451-002,10136
A2UN-1-101732671,Holes for P5 fol1ing AARI MOD,DQIM,CAT I,Medium,12/6/17 13:00,12/7/17 16:53,12/18/17 20:40,12/18/17 20:40,ALIS,07142000-1,0
A2UN-1-103416581,Substitute of GUC,Supply Chain,CAT II,Low,12/21/17 11:47,12/22/17 19:06,0,0,ALIS,0,0
A2UN-1-14584147,Variances in EEL and ALIS 1.0.3,DQIM,CAT II,Low,2/11/13 15:20,2/11/13 20:21,8/28/14 20:33,8/28/14 8:33,DQIM,0,0
A2UN-1-15064451,"Update 2WSH72412-0003 Serial Number for 2BF:21 (VK01, 168719)",DQIM,CAT II,Low,3/20/13 16:16,3/20/13 16:29,7/23/13 17:43,8/6/14 7:17,A5253305,2WSH72412-0003,0
A2UN-1-15066921,Update 2GHH42015-0003 Serial Number for 2AF:23 (10-5011),DQIM,CAT II,Low,3/20/13 18:20,3/20/13 18:36,9/23/13 18:38,8/6/14 7:16,A2851014,2GHH42015-0003,1104502371
A2UN-1-15108491,Update 2GFV00602-0066 Serial Number for 2AF:23 (10-5011),DQIM,CAT II,Low,3/22/13 13:07,3/22/13 13:22,2/12/14 19:45,8/19/14 3:34,A2841020,2GFV00602-0066,30
A2UN-1-15665091,Update 2GFV00301-0002 Serial Number for 2AF:20 (09-5007),DQIM,CAT II,Low,4/23/13 18:57,4/23/13 19:09,2/24/14 16:47,8/19/14 3:28,A2823014,2GFV00301-0002,263
A2UN-1-15671021,"IUID verification requires ASSY, FLAPERON, RH serial number update for AF19",DQIM,CAT II,High,4/23/13 21:07,4/23/13 21:38,2/24/14 16:48,8/19/14 3:27,A5752012,2VSH42210-0012,43
A2UN-1-16044311,Update 2ZKH77050-0002 Serial Number for 2AF:24 (10-5012),DQIM,CAT II,Low,5/13/13 17:44,5/13/13 17:59,8/19/13 21:09,8/6/14 7:04,A4822092,2ZKH77050-0002,22
A2UN-1-16130083,Update 2CHH51510-0003 Serial Number for 2AF:21 (10-5009),DQIM,CAT II,Low,5/16/13 18:40,5/16/13 19:09,8/21/13 21:49,8/6/14 6:56,A9421091,2CHH51510-0003,97
A2UN-1-16146821,Update 2WRV00401-0004 Serial Number for 2AF:23 (10-5011),DQIM,CAT II,Low,5/17/13 15:59,5/17/13 16:11,2/25/14 19:48,7/25/14 8:27,A2783013,2WRV00401-0004,67
