REPORT_TYPE,CATEGORY,LOCATION ,SEVERITY
0,0,221,2
0,1,139,0
0,0,2,0
0,1,1,0
0,0,631,2
0,1,11,0
0,1,37,0
0,0,522,0
1,1,1035,0
0,1,103,0
0,0,221,2
0,0,327,2
0,0,325,0
0,0,133,0
0,1,178,0
0,0,27,1
0,0,890,2
0,1,42,0
0,1,50,0
0,0,312,2
0,0,241,0
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,1
0,1,21,0
0,1,278,0
0,0,718,2
0,1,31,0
0,0,2,0
0,0,2,1
0,1,5,1
0,0,331,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,1
0,0,265,1
0,0,2,2
0,1,2,0
0,0,5,0
0,0,0,0
0,1,2,0
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,0,2,2
0,1,2,0
0,0,2,0
0,0,6,2
0,1,0,0
0,1,667,0
1,0,68,0
0,1,119,0
0,1,17,0
0,0,9,1
0,0,6,2
0,1,1056,0
0,1,58,0
0,0,6,2
0,1,6,0
0,1,129,0
0,1,6,0
0,1,0,1
1,1,1694,0
0,1,17,0
0,1,261,0
0,1,0,0
0,1,0,0
1,0,103,1
0,1,79,0
0,1,4,0
0,1,79,0
0,1,261,0
0,1,667,0
0,0,1812,2
1,0,0,0
0,0,11,0
0,1,48,0
1,0,0,2
0,1,6,0
1,1,0,0
0,0,0,2
0,0,0,2
0,0,33,0
0,1,167,0
1,0,167,2
0,0,5,2
0,1,922,0
0,0,0,1
0,0,31,1
0,0,1228,0
0,1,31,0
0,1,751,0
0,0,66,0
0,0,0,0
0,1,626,0
1,1,51,0
0,0,379,0
0,1,653,2
0,1,882,0
0,0,163,1
0,0,163,1
0,0,17,0
0,1,898,0
0,1,112,0
0,0,125,0
0,0,76,0
0,0,65,0
0,1,183,1
0,1,167,0
0,0,165,1
0,1,29,2
0,1,291,0
0,0,1883,2
0,0,343,2
0,0,26,0
0,0,605,2
0,0,146,2
0,0,293,0
0,0,380,2
0,0,50,2
0,1,15,0
0,0,6,1
0,0,123,2
0,0,0,2
0,0,0,1
0,0,21,0
